filename$LOC$class_value$message
.github/workflows/close_pr.yml$"        comment: ""We do not accept PRs. Patches should be sumbitted through Gerrit. See https://www.wireshark.org/docs/wsdg_html_chunked/ChSrcContribute.html"""$0$"Maybe ""We do not accept GitHub PRs."" ?_"
epan/dissectors/packet-tls-utils.c$"                    tvb, offset, next_offset - offset, ""[truncated]"")_"$0$"since you are not adding any extra information here, perhaps drop the ""[truncated]"" text here and rely on the label of the field in packet-tls-utils.h _  _ And use proto_item_set_generated to get the '[' and ']' effect._"
epan/dissectors/packet-tls-utils.c$"                    tvb, offset, next_offset - offset, ""[truncated]"")_"$1$Done_
epan/dissectors/packet-tls-utils.c$"                    tvb, offset, next_offset - offset, ""[truncated]"")_"$0$Would this be worth showing as expert info instead of a normal item? Warning about a lot of items? _  _ Instead of counting the number of layers, what about limiting the number of items to a fixed number (e.g. 100, or whatever makes sense)? That way you do not have to rely on an internal implementation detail._
epan/dissectors/packet-tls-utils.c$"                    tvb, offset, next_offset - offset, ""[truncated]"")_"$0$"The number of layers added per DN is not fixed, therefore using a fix number can still trigger a ""Dissector bug warning"". This way it will not trigger that regardless the number of layers per DN, because that is also based on a layer count. (Unless we use a value that on the very save side, like 50.) _  _ I have considered expert info, but this way it looks like the ""[truncated]"" message for long strings in the tree pane. Long strings (like cookies in HTTP) are not flagged with expert info. So I think this is more consistent._"
epan/dissectors/packet-tls-utils.c$"                    tvb, offset, next_offset - offset, ""[truncated]"")_"$0$I'd suggest limiting it to a sane amount, like 50 or 100. That way the depth detail can be kept internal to packet.c, and it is easier to explain when things go wrong. _  _ For example, during presentations you could note that no filters will be available for DN past the limit._
epan/dissectors/packet-tls-utils.c$"                    tvb, offset, next_offset - offset, ""[truncated]"")_"$0$> no filters will be available for DN past the limit _ That is a good point. And a significant difference compared to truncated strings. Now I am in doubt if we should add expert info because of this (or is having the filter tls.handshake.dnames_truncated enough?). _  _ Having a fixed limit is indeed easier to explain and document. Normally I try avoid having multiple constant values that have a correlation. _ I did some digging. In the sample pcap the average is 4,55 and the list starts with the DNs with the lowest number of RDNs. That appears to be the normal order. A limit of 100 is a nice round number and allows for just below 5 (= PINFO_LAYER_MAX_RECURSION_DEPTH / 100) RDNs per DN on average. _ So that should be high enough to normally not hit this limit and low enough not hit the 500 layers DISSECTOR_ASSERT._
epan/dissectors/packet-tls.c$       int hf_tls_handshake_dnames_truncated  = -1_ /* global: also used in packet-tls-utils.c */$0$"Oh I see what you mean by ""common_hf thing"". I will use that macro... _ Ignore my previous comment._"
epan/dissectors/packet-tls.c$       int hf_tls_handshake_dnames_truncated  = -1_ /* global: also used in packet-tls-utils.c */$0$consider adding this to the common_hf thing in packet-tls-utils.h as it would also apply to DTLS._
epan/dissectors/packet-tls.c$       int hf_tls_handshake_dnames_truncated  = -1_ /* global: also used in packet-tls-utils.c */$0$A header file (.h) should not contain statements that result in generated code. If it is included multiple times and contains 'static int ...' then that will generate multiple memory allocations for those statics (or compiler errors depending how it is set up). _ What about I move this to packet-tls-utils.c and call a function (e.g. proto_register_tls_utils) from proto_register_tls to initialize it._
epan/dissectors/packet-tls.c$       int hf_tls_handshake_dnames_truncated  = -1_ /* global: also used in packet-tls-utils.c */$1$Done_
epan/dissectors/packet-afs.c$	}$0$is something missing here and above? The switch seems pretty useless. If you do not plan to implement it, don't forget to mark opcode with _U_ _  _ Is there a packet capture sample? If so, do open a bug and attach it._
epan/dissectors/packet-afs.c$	}$0$"I just copied these from the existing dissect_backup_reply and _request.  I left them stubbed out because my only interest for now is to correctly display the RPC (rather than the current ""Unknown"").  The RPC payloads would be dissected here, and I'm not currently interested in dissecting the payloads of these RPCs. _  _ The packet capture sample that shows this problem is from the project's sample captures page, as mentioned in the commit message:   _ https://wiki.wireshark.org/SampleCaptures?action=AttachFile&do=get&target=afs.cap.gz_"
epan/dissectors/packet-afs.c$	}$0$I marked them with a _U_ in the next patchset._
epan/dissectors/packet-rx.c$	char *version_type_$1$const char * _  _ Can you also squash some trivial patches? Changing a typo in a comment can probably be done while you are modifying other code._
epan/dissectors/packet-rx.c$	char *version_type_$1$The trivial patches have little regression risk, and this patch is not too complicated, so I think they can be squashed into one. _  _ Use your best judgment, we have had patches with 10k of lines which are almost impossible to review. On the other hand, if changes are somewhat related, it makes sense to group them. For example: https://code.wireshark.org/review/36150_
epan/dissectors/packet-rx.c$	char *version_type_$1$Done_
epan/dissectors/packet-rx.c$	char *version_type_$0$Thanks, I'll make this const in the next patchset. _  _ Sorry, the OpenAFS project I contribute to has the opposite policy - one change, one commit - so I'm used to that.  But of course I'll be glad to squash the trivial ones.  _ Should I squash the 2 trivial patches into this one? _ Or just squash the 2 trivial patches into a single patch?_
.github/workflows/windows.yml$      - name: set$0$this debug step can be removed IMHO_
.github/workflows/windows.yml$      - name: set$0$Sure. I forgot it._
.github/workflows/windows.yml$          name: exe$0$"This is literally displayed as ""exe"", is that name good enough? _ https://github.com/crondaemon/wireshark/actions/runs/50846717 _  _ There is only one installer, but sadly uploading a single file is not supported yet. Maybe in v2: _ https://github.com/actions/upload-artifact/issues/3_"
.github/workflows/windows.yml$          name: exe$0$"As per my other comment in the ubuntu change, I'll go with ""packages"" for all._"
