change_id;revision-id;filename;line;start_line;end_line;LOC;message
wireshark~master~Icb1164879c9bd0a48aad21d7a42cba79ab195677;2ef62f5ef310f4937cb956652350085a8a353795;.github/workflows/close_pr.yml;14;0;0;        comment: "We do not accept PRs. Patches should be sumbitted through Gerrit. See https://www.wireshark.org/docs/wsdg_html_chunked/ChSrcContribute.html";Maybe "We do not accept GitHub PRs." ?
wireshark~master~Ib315940dcabc2d6b31cf3562354214158ea545a5;5adb04c98046671c9ea57352ae8d6b5b45e54f46;epan/dissectors/packet-tls-utils.c;6061;0;0;                    tvb, offset, next_offset - offset, "[truncated]")_;since you are not adding any extra information here, perhaps drop the "[truncated]" text here and rely on the label of the field in packet-tls-utils.h _  _ And use proto_item_set_generated to get the '[' and ']' effect.
wireshark~master~Ib315940dcabc2d6b31cf3562354214158ea545a5;5adb04c98046671c9ea57352ae8d6b5b45e54f46;epan/dissectors/packet-tls-utils.c;6061;0;0;                    tvb, offset, next_offset - offset, "[truncated]")_;Done
wireshark~master~Ib315940dcabc2d6b31cf3562354214158ea545a5;53aa02721830be9656aab15891fc406cdc961f17;epan/dissectors/packet-tls-utils.c;6062;0;0;                    tvb, offset, next_offset - offset, "[truncated]")_;Would this be worth showing as expert info instead of a normal item? Warning about a lot of items? _  _ Instead of counting the number of layers, what about limiting the number of items to a fixed number (e.g. 100, or whatever makes sense)? That way you do not have to rely on an internal implementation detail.
wireshark~master~Ib315940dcabc2d6b31cf3562354214158ea545a5;53aa02721830be9656aab15891fc406cdc961f17;epan/dissectors/packet-tls-utils.c;6062;0;0;                    tvb, offset, next_offset - offset, "[truncated]")_;The number of layers added per DN is not fixed, therefore using a fix number can still trigger a "Dissector bug warning". This way it will not trigger that regardless the number of layers per DN, because that is also based on a layer count. (Unless we use a value that on the very save side, like 50.) _  _ I have considered expert info, but this way it looks like the "[truncated]" message for long strings in the tree pane. Long strings (like cookies in HTTP) are not flagged with expert info. So I think this is more consistent.
wireshark~master~Ib315940dcabc2d6b31cf3562354214158ea545a5;53aa02721830be9656aab15891fc406cdc961f17;epan/dissectors/packet-tls-utils.c;6062;0;0;                    tvb, offset, next_offset - offset, "[truncated]")_;I'd suggest limiting it to a sane amount, like 50 or 100. That way the depth detail can be kept internal to packet.c, and it is easier to explain when things go wrong. _  _ For example, during presentations you could note that no filters will be available for DN past the limit.
wireshark~master~Ib315940dcabc2d6b31cf3562354214158ea545a5;53aa02721830be9656aab15891fc406cdc961f17;epan/dissectors/packet-tls-utils.c;6062;0;0;                    tvb, offset, next_offset - offset, "[truncated]")_;> no filters will be available for DN past the limit _ That is a good point. And a significant difference compared to truncated strings. Now I am in doubt if we should add expert info because of this (or is having the filter tls.handshake.dnames_truncated enough?). _  _ Having a fixed limit is indeed easier to explain and document. Normally I try avoid having multiple constant values that have a correlation. _ I did some digging. In the sample pcap the average is 4,55 and the list starts with the DNs with the lowest number of RDNs. That appears to be the normal order. A limit of 100 is a nice round number and allows for just below 5 (= PINFO_LAYER_MAX_RECURSION_DEPTH / 100) RDNs per DN on average. _ So that should be high enough to normally not hit this limit and low enough not hit the 500 layers DISSECTOR_ASSERT.
wireshark~master~Ib315940dcabc2d6b31cf3562354214158ea545a5;53aa02721830be9656aab15891fc406cdc961f17;epan/dissectors/packet-tls.c;158;0;0;       int hf_tls_handshake_dnames_truncated  = -1_ /* global: also used in packet-tls-utils.c */;Oh I see what you mean by "common_hf thing". I will use that macro... _ Ignore my previous comment.
wireshark~master~Ib315940dcabc2d6b31cf3562354214158ea545a5;53aa02721830be9656aab15891fc406cdc961f17;epan/dissectors/packet-tls.c;158;0;0;       int hf_tls_handshake_dnames_truncated  = -1_ /* global: also used in packet-tls-utils.c */;consider adding this to the common_hf thing in packet-tls-utils.h as it would also apply to DTLS.
wireshark~master~Ib315940dcabc2d6b31cf3562354214158ea545a5;53aa02721830be9656aab15891fc406cdc961f17;epan/dissectors/packet-tls.c;158;0;0;       int hf_tls_handshake_dnames_truncated  = -1_ /* global: also used in packet-tls-utils.c */;A header file (.h) should not contain statements that result in generated code. If it is included multiple times and contains 'static int ...' then that will generate multiple memory allocations for those statics (or compiler errors depending how it is set up). _ What about I move this to packet-tls-utils.c and call a function (e.g. proto_register_tls_utils) from proto_register_tls to initialize it.
wireshark~master~Ib315940dcabc2d6b31cf3562354214158ea545a5;53aa02721830be9656aab15891fc406cdc961f17;epan/dissectors/packet-tls.c;158;0;0;       int hf_tls_handshake_dnames_truncated  = -1_ /* global: also used in packet-tls-utils.c */;Done
wireshark~master~Ib315940dcabc2d6b31cf3562354214158ea545a5;d8e0baff22d2845ef9014f3b3d6557114a6822ae;/COMMIT_MSG;7;0;0;It is indicated by adding a "[Tree view truncated]" item.;Suggestion: mention the large number of DN in the short summary? E.g. _  _ TLS: Limit the number of DNs in Certificate Request messages
wireshark~master~I0026ae3f7e03b28242a3a7cb3091ba32c91c4edb;b2ce1e1220105d0819d21a0deea65b5ee92293df;/COMMIT_MSG;2;0;0;;can you edit your name _ git commit --author="ivan Severin<ivan...>
wireshark~master~I0026ae3f7e03b28242a3a7cb3091ba32c91c4edb;b2ce1e1220105d0819d21a0deea65b5ee92293df;/COMMIT_MSG;10;0;0;Tested-by: Petri Dish Buildbot;before change-id
wireshark~master~I906787889e10cad307d9a6fa610c3e35f2b69184;674c2b877ad756609da2c3c76c6957954b9bb524;epan/dissectors/packet-afs.c;2764;0;0;	};is something missing here and above? The switch seems pretty useless. If you do not plan to implement it, don't forget to mark opcode with _U_ _  _ Is there a packet capture sample? If so, do open a bug and attach it.
wireshark~master~I906787889e10cad307d9a6fa610c3e35f2b69184;674c2b877ad756609da2c3c76c6957954b9bb524;epan/dissectors/packet-afs.c;2764;0;0;	};I just copied these from the existing dissect_backup_reply and _request.  I left them stubbed out because my only interest for now is to correctly display the RPC (rather than the current "Unknown").  The RPC payloads would be dissected here, and I'm not currently interested in dissecting the payloads of these RPCs. _  _ The packet capture sample that shows this problem is from the project's sample captures page, as mentioned in the commit message:   _ https://wiki.wireshark.org/SampleCaptures?action=AttachFile&do=get&target=afs.cap.gz
wireshark~master~I906787889e10cad307d9a6fa610c3e35f2b69184;674c2b877ad756609da2c3c76c6957954b9bb524;epan/dissectors/packet-afs.c;2764;0;0;	};I marked them with a _U_ in the next patchset.
wireshark~master~I73aa7f2cbfd4a3e9538d629086bfa35eda6b6bf7;80a83415b9ae639725aa243a0c3878fbbd9c1a57;epan/dissectors/packet-rx.c;420;0;0;	char *version_type_;const char * _  _ Can you also squash some trivial patches? Changing a typo in a comment can probably be done while you are modifying other code.
wireshark~master~I73aa7f2cbfd4a3e9538d629086bfa35eda6b6bf7;80a83415b9ae639725aa243a0c3878fbbd9c1a57;epan/dissectors/packet-rx.c;420;0;0;	char *version_type_;The trivial patches have little regression risk, and this patch is not too complicated, so I think they can be squashed into one. _  _ Use your best judgment, we have had patches with 10k of lines which are almost impossible to review. On the other hand, if changes are somewhat related, it makes sense to group them. For example: https://code.wireshark.org/review/36150
wireshark~master~I73aa7f2cbfd4a3e9538d629086bfa35eda6b6bf7;80a83415b9ae639725aa243a0c3878fbbd9c1a57;epan/dissectors/packet-rx.c;420;0;0;	char *version_type_;Done
wireshark~master~I73aa7f2cbfd4a3e9538d629086bfa35eda6b6bf7;80a83415b9ae639725aa243a0c3878fbbd9c1a57;epan/dissectors/packet-rx.c;420;0;0;	char *version_type_;Thanks, I'll make this const in the next patchset. _  _ Sorry, the OpenAFS project I contribute to has the opposite policy - one change, one commit - so I'm used to that.  But of course I'll be glad to squash the trivial ones.  _ Should I squash the 2 trivial patches into this one? _ Or just squash the 2 trivial patches into a single patch?
wireshark~master~I88e19514a56630a4946338c6109b801c98526a44;9b46ccbf6f7bcb8b6c9242df8e001f3f41dba0b3;.github/workflows/windows.yml;24;0;0;      - name: set;this debug step can be removed IMHO
wireshark~master~I88e19514a56630a4946338c6109b801c98526a44;9b46ccbf6f7bcb8b6c9242df8e001f3f41dba0b3;.github/workflows/windows.yml;24;0;0;      - name: set;Sure. I forgot it.
wireshark~master~I88e19514a56630a4946338c6109b801c98526a44;7feaca76df64937810e10e78c6ab3821e990d72b;.github/workflows/windows.yml;67;0;0;          name: exe;This is literally displayed as "exe", is that name good enough? _ https://github.com/crondaemon/wireshark/actions/runs/50846717 _  _ There is only one installer, but sadly uploading a single file is not supported yet. Maybe in v2: _ https://github.com/actions/upload-artifact/issues/3
wireshark~master~I88e19514a56630a4946338c6109b801c98526a44;7feaca76df64937810e10e78c6ab3821e990d72b;.github/workflows/windows.yml;67;0;0;          name: exe;As per my other comment in the ubuntu change, I'll go with "packages" for all.
wireshark~master~Id9e17ecacddfd1a22370a1e1e87cb04ef634f297;a98d95af31ff2870de52de04754b8e8d80b1ad42;.github/workflows/ubuntu.yml;45;0;0;          name: debian;maybe call it ".deb packages" or something? This "debian" looks confusing _ https://github.com/crondaemon/wireshark/actions/runs/48235133
wireshark~master~Id9e17ecacddfd1a22370a1e1e87cb04ef634f297;a98d95af31ff2870de52de04754b8e8d80b1ad42;.github/workflows/ubuntu.yml;45;0;0;          name: debian;I was not really inspired when I choose this name. I think I'll go with "packages" for all the platforms.
wireshark~master~I8adae4609ff2857cb12bc803839ebb2c6afbd264;0442f7a2c3c6830f7ee9a2154bcfdbd179eb9225;ui/qt/capture_file_dialog.cpp;926;0;0;                    .arg(ti_tm->tm_year + 1900, 4, QChar('0'));That doesn't work. _  _ The compiler will *not* say "OK, there's a version of the arg method that takes an integral value, a field width, a base, and a fill character, but you only passed three arguments, so I'll match up the int first argument with the int "a" argument, match up the second int argument with the int "fieldWidth" argument, and match up the third QChar argument with the QChar "fillChar" argument, and default the int "base" argument to 10", it just matches the QChar argument with "base" and converts it to an int. _  _ See bug 16429 - https://bugs.wireshark.org/bugzilla/show_bug.cgi?id=16429. _  _ That applies to all the added .arg calls.  A fix is in progress.
wireshark~master~I8adae4609ff2857cb12bc803839ebb2c6afbd264;e0b776aed9fd21280d5f8666267582f432a65321;ui/qt/main_status_bar.cpp;63;0;0;    push_msg = QString::vasprintf(msg_format, ap)_;This was introduced in Qt 5.5.
wireshark~master~Ib892f79893471065eca81c7cf17e165256fdc9a9;15c90ca8320ef2068d50b7636d5cfb9b56bbcf3a;ui/qt/widgets/syntax_line_edit.cpp;172;0;0;            std::string token_str(token.toStdString())_;Why std::string? Why not QString? _  _ What about improving with something like this to avoid doing a .c_str() several times: _  _     const char *token_str = token.section('.', 0, 0).toUtf8().constData()_
wireshark~master~Ib892f79893471065eca81c7cf17e165256fdc9a9;15c90ca8320ef2068d50b7636d5cfb9b56bbcf3a;ui/qt/widgets/syntax_line_edit.cpp;172;0;0;            std::string token_str(token.toStdString())_;I was looking for the way to get a C-string out of a QString, but couldn't find a (definitive) answer. If this is it I gladly change it.
wireshark~master~Ib892f79893471065eca81c7cf17e165256fdc9a9;15c90ca8320ef2068d50b7636d5cfb9b56bbcf3a;ui/qt/widgets/syntax_line_edit.cpp;172;0;0;            std::string token_str(token.toStdString())_;This is the way we do it all other places. Have a look at our qstring_strdup() in qt_ui_utils.cpp
wireshark~master~Ib892f79893471065eca81c7cf17e165256fdc9a9;15c90ca8320ef2068d50b7636d5cfb9b56bbcf3a;ui/qt/widgets/syntax_line_edit.cpp;172;0;0;            std::string token_str(token.toStdString())_;Looking at it in more detail, I think I'll have to use qstring_strdup() as well, instead of keeping the pointer to the QByteArray.constData(). Reason is that the QByteArray is a temporary object, IIRC, so the pointer would be invalid after this line.  _  _ Anywhere else this construct is used in function parameters, with only one exception in tap_parameter_dialog.cpp, which I think suffers from the same bug.
wireshark~master~Ib892f79893471065eca81c7cf17e165256fdc9a9;15c90ca8320ef2068d50b7636d5cfb9b56bbcf3a;ui/qt/widgets/syntax_line_edit.cpp;172;0;0;            std::string token_str(token.toStdString())_;One more question: why doesn't qstring_strdup() take a reference to QString q_string?
wireshark~master~Ib892f79893471065eca81c7cf17e165256fdc9a9;7b66520d84fb1b88e484be3661764a5c9ce74c64;ui/qt/widgets/syntax_line_edit.cpp;172;0;0;            char *dot = strchr(token_copy, '.')_;What about using C++ to do your string handling here?
wireshark~master~Ib892f79893471065eca81c7cf17e165256fdc9a9;7b66520d84fb1b88e484be3661764a5c9ce74c64;ui/qt/widgets/syntax_line_edit.cpp;172;0;0;            char *dot = strchr(token_copy, '.')_;Done
wireshark~master~Ib892f79893471065eca81c7cf17e165256fdc9a9;7b66520d84fb1b88e484be3661764a5c9ce74c64;ui/qt/widgets/syntax_line_edit.cpp;179;0;0;                syntax_error_message_ = tr("\"%1\" may have unexpected results. ";We may also want to update the ChWorkBuildDisplayFilterMistake section in WSUG_chapter_work.adoc after this textual change.
wireshark~master~Ib892f79893471065eca81c7cf17e165256fdc9a9;7b66520d84fb1b88e484be3661764a5c9ce74c64;ui/qt/widgets/syntax_line_edit.cpp;179;0;0;                syntax_error_message_ = tr("\"%1\" may have unexpected results. ";Done
wireshark~master~Ib892f79893471065eca81c7cf17e165256fdc9a9;379d70b82b2689bc1692d9b75729ee20c4060439;ui/qt/widgets/syntax_line_edit.cpp;178;0;0;                syntax_error_message_ = tr("\"%1\" is deprecated and may have unexpected results. ";The User's Guide doesn't explicitly state that "!=" or "ne" is deprecated, and I don't think the operator is actually deprecated, so I would say this should be changed to "%1 may have unexpected results" as I did in patch #2.
wireshark~master~Ib892f79893471065eca81c7cf17e165256fdc9a9;379d70b82b2689bc1692d9b75729ee20c4060439;ui/qt/widgets/syntax_line_edit.cpp;178;0;0;                syntax_error_message_ = tr("\"%1\" is deprecated and may have unexpected results. ";Looks like it. I'll change the text.
wireshark~master~Ib892f79893471065eca81c7cf17e165256fdc9a9;379d70b82b2689bc1692d9b75729ee20c4060439;ui/qt/widgets/syntax_line_edit.cpp;178;0;0;                syntax_error_message_ = tr("\"%1\" is deprecated and may have unexpected results. ";I think we just use the same mechanism for both "!="/"ne" and renamed protocol abbreviations.
wireshark~master~Ib892f79893471065eca81c7cf17e165256fdc9a9;379d70b82b2689bc1692d9b75729ee20c4060439;ui/qt/widgets/syntax_line_edit.cpp;178;0;0;                syntax_error_message_ = tr("\"%1\" is deprecated and may have unexpected results. ";I had a similar question. But if that is true, dfilter_deprecated_tokens shouldn't have returned a value?
wireshark~master~Ib892f79893471065eca81c7cf17e165256fdc9a9;51938013479cac973f94b6f0a15c49b5a24379c3;ui/qt/widgets/syntax_line_edit.cpp;170;0;0;            header_field_info *hfinfo = proto_registrar_get_byalias(alias)_;Maybe we can use this pointer to determine if "depr" is deprecated or if it may have unexpected results: _ * If hfinfo is valid then it's probably a deprecated field. _ * If hfinfo is NULL then it's probably "may have unexpected results".
wireshark~master~Ib892f79893471065eca81c7cf17e165256fdc9a9;51938013479cac973f94b6f0a15c49b5a24379c3;ui/qt/widgets/syntax_line_edit.cpp;170;0;0;            header_field_info *hfinfo = proto_registrar_get_byalias(alias)_;Thanks for having a look. Indeed the returned hfinfo pointer is not usable as-is. I will look into your suggestion.
wireshark~master~Ic903f41c2d6696eab96186b95c82a6287b3cfee6;b96dca13b236baf933153872897e1f1fc6f2bb9d;epan/dissectors/packet-quic.c;19;0;0; * Extension :;Drop the space before the colon (or just remove these lines?)
wireshark~master~Ic0b01c161e659c3ed9dbbd6387fa8960e34d50d3;29c7536ee3ff7f5f71f5a7799a9a557c664f6db3;.gitlab-ci.yml;178;0;0;  image: debian:stable;Why aren't you using the ubuntu image other jobs use?
wireshark~master~Ic0b01c161e659c3ed9dbbd6387fa8960e34d50d3;cff407ffb8248d30d29cabc7befd060e3e35355f;.gitlab-ci.yml;180;0;0;    - apt-get update -qq;This is not required. Already done by the install script.
